tieu_de,gia_ban,don_gia,dien_tich,dia_chi,mo_ta,dien_thoai,loai_hinh,dien_tich_dat,dien_tich_su_dung,gia_m2,giay_to_phap_ly,so_phong_ngu,so_phong_ve_sinh,tong_so_tang,tinh_trang_noi_that,huong_cua_chinh,dac_diem,chieu_ngang,chieu_dai,ma_can,ten_phan_khu_lo,bieu_do_gia
"SÁT LOTTE NGUYỄN VĂN LƯỢNG P16 GV-HXH VÀO NHÀ-70M2-4TẦNG-7PN-10,9999TỶ","10,999 tỷ","157,13 triệu/m²",70 m²,"Nguyễn Văn Lượng , Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh (Phường An Hội Đông, TP Hồ Chí Minh mới)","SÁT LOTTE NGUYỄN VĂN LƯỢNG P16 GV-HXH VÀO NHÀ-70M2-4TẦNG-7PN-CHỈ 10,999TỶ TL

- Hẻm oto vào nhà sát mặt tiền, hẻm ngắn chỉ vài căn nhà, an ninh, dân trí, sạch sẽ 

- Diện tích : 4m x 16,5m ( nở hậu 4,5m ) 70m2

- Kết cấu : Đúc 4 tầng sân thượng, hoàn công đủ, gồm 7 phòng, 7 toilet

- Sổ hồng riêng, pháp lý chuẩn",0784949311,"Nhà ngõ, hẻm",70 m²,,"157,13 triệu/m²",Đã có sổ,7 phòng,Nhiều hơn 6 phòng,4,,,Hẻm xe hơi,,,,,"[107.14, 107.86, 107.86, 110.94, 110.94, 107.14, 109.09, 109.09, 109.09, 110.61, 110.61, 110.61, 110.61]"
"Bán Toà Nhà CHDV gần MT Nguyễn Văn Khối,F9, dtsd 480m2, 5 lầu","16,9 tỷ","112,67 triệu/m²",150 m²,"Đường Nguyễn Văn Khối, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh (Phường Thông Tây Hội, TP Hồ Chí Minh mới)","CĂN HỘ DỊCH VỤ ĐANG CHO THUÊ 65 TRIỆU/ THÁNG .
Bán căn hộ dịch vụ gần mặt tiền Nguyễn Văn Khối, P.9, Gò Vấp.
- Diện tích: 150m2 (5m x 20 m nở hậu 7m) gồm 1 trệt 1 lửng 2 lầu sân thượng.
- Có 17 phòng, đang cho thuê khoáng 65tr/tháng (hợp đồng còn 2 năm) Nếu tự khai thác thì được khoảng 100tr. 
- Có thể xây thêm 3 phòng, có sẵn cổng điện nước, thang máy 650 kg .
- Hướng: đông nam
- Giá bán giảm 800tr còn 16.9 tỷ",0909931593,"Nhà ngõ, hẻm",150 m²,480 m²,"112,67 triệu/m²",Đã có sổ,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,5,,Đông Nam,Hẻm xe hơi,5 m,20 m,,,"[123.9, 115.79, 120.19, 120.19, 123.33, 128.66, 128.66, 105.79, 123.13, 124.11, 119.05]"
nhà đúc 2 tấm phường 12 dt: 44m2,"5,4 tỷ","122,73 triệu/m²",44 m²,"Đường Bùi Quang Là, Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh (Phường An Hội Tây, TP Hồ Chí Minh mới)","Nhà chính chủ gủi cần bán gấp thuộc phường 12 gò vấp 
DT: 8,6 x 4,8m đúc kiên cố 2 tấm gồm 3pn 3wc sân thượng nhà đẹp vô ở ngay 
Vị trí: hẻm 2// bùi Quang là khu dân cư yên tĩnh 
Giá bán: 5ty400tr LH: *** Trang",,Nhà phố liền kề,44 m²,44 m²,"122,73 triệu/m²",Đã có sổ,3 phòng,,,,,,8.6 m,4.8 m,,,[]
🏡 HẺM THÔNG KINH DOANH NHỎ . 6x Quang Trung ngang 4m . 2T 💰 2.68 🧄,"2,68 tỷ",134 triệu/m²,20 m²,"Đường Quang Trung, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh (Phường Thông Tây Hội, TP Hồ Chí Minh mới)","🏡 HẺM THÔNG KINH DOANH NHỎ . 6xx Quang Trung . Gò Vấp . ngang 4m . 2 tầng . 💰 2.68 🧄 còn thương lượng
📐 4 x 19/20 ~ 80m² sàn
🏠 1 trệt 1 lầu
🛏️ 2PN . 2WC
🛋️ Full nội thất
🚶 vài bước ra Coopmart Quang Trung . BV Hồng Đức
💼 ở + buôn bán online + cho thuê đều hợp
📄 sổ riêng . công chứng nhanh
☎️ Gọi liền Em Thảo *** – Em Nhẫn ***
#QuangTrung #GoVap #NhaDep #GiaTot #NhàĐẹpThiênThảo",0768226634,"Nhà ngõ, hẻm",20 m²,,134 triệu/m²,,1 phòng,1 phòng,2,,Tây Bắc,,4 m,5 m,,,"[113.33, 108.33, 108.33, 115.28, 112.67, 112.67, 105.56, 105.56, 117.22, 111.88, 111.88, 123.03, 117.64]"
"🏡 HXH ,Quang Trung . Gò Vấp . 5 T, THANG MÁY . GẦN 60m² . 💰 8.8 🧄","8,8 tỷ","146,67 triệu/m²",60 m²,"Đường Quang Trung, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh (Phường Thông Tây Hội, TP Hồ Chí Minh mới)","🏡 HẺM XE HƠI THÔNG BỜ KÈ . 13xx Quang Trung . Gò Vấp . 5 TẦNG + THANG MÁY . GẦN 60m² . 💰 8.8 🧄 còn TL
📐 3.9 × 14.5
🏠 1 trệt 1 lửng 3 lầu
🛏️ 5PN . 6WC
🛗 thang máy 450kg
🚗 gara ô tô trong nhà
🛋️ full nội thất mới 100%
🌿 sát bờ kè Tham Lương . hẻm ô tô thông
📄 sổ riêng . hoàn công đủ
📞 Gọi liền Em Thảo – Em Nhẫn",,"Nhà ngõ, hẻm",60 m²,,"146,67 triệu/m²",Đã có sổ,5 phòng,6 phòng,5,,,Hẻm xe hơi,3.9 m,14.5 m,,,"[113.33, 108.33, 108.33, 115.28, 112.67, 112.67, 105.56, 105.56, 117.22, 111.88, 111.88, 123.03, 117.64]"
"HXH-NHÀ ĐẸP-64M2 (4x16)-2TẦNG-4PN-LÊ VĂN THỌ GV-CHỈ 6,25TỶ TL","6,25 tỷ","97,66 triệu/m²",64 m²,"Lê Văn Thọ, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh (Phường An Hội Tây, TP Hồ Chí Minh mới)","HXH-NHÀ ĐẸP-64M2 (4x16)-2TẦNG-4PN-LÊ VĂN THỌ GV-CHỈ 6,25TỶ TL

+ Nhà 2 tầng. Gồm 4PN (Có 1 PN dưới trệt cho người lớn tuổi, 2WC, PK, bếp, ban công thoáng mát.
+ Đất ở dân cư hiện hữu, hàng xóm cao tầng thân thiện, dân trí cao, tiện ích đầy đủ.
+ Diện tích: 64m2 (4x16m) vuông vức.
+ Nhà nhả bớt lộ giới 10m xuống 5m, nhà kế bên xây 6 tầng xây hết đất.
+ Pháp lý sạch, hoàn công đủ, công chứng nhanh.",0784949311,"Nhà ngõ, hẻm",64 m²,,"97,66 triệu/m²",Đã có sổ,4 phòng,,,,,Hẻm xe hơi,,,,,"[105.71, 108.33, 105.8, 104, 104, 107.82, 114.29, 114.29, 120.59, 122.49, 122.49, 122.49, 122.49]"
🏡 HẺM 10M XE HƠI ĐỖ CỔNG . LÊ QUANG ĐỊNH 4 T . 52m² . 💰 10.3 🧄 TL,"10,5 tỷ","190,91 triệu/m²",55 m²,"Đường Lê Quang Định, Phường 7, Quận Gò Vấp, Tp Hồ Chí Minh (Phường Hạnh Thông, TP Hồ Chí Minh mới)","🏡 HẺM 10M XE HƠI ĐỖ CỔNG . LÊ QUANG ĐỊNH → HẠNH THÔNG . GÒ VẤP . 4 TẦNG . 52m² . 💰 10.3 🧄 còn TL
📐 4.1 × 14
🏠 5PN khép kín
🚗 ô tô ngủ trong nhà
🛋️ full nội thất
📄 sổ riêng
📞 Em Thảo ,Em Nhẫn",,"Nhà ngõ, hẻm",55 m²,,"190,91 triệu/m²",Đã có sổ,4 phòng,4 phòng,5,,,Hẻm xe hơi,4 m,14 m,,,"[128.33, 129.63, 129.63, 119.13, 136.71, 127.14, 124.72, 122.52, 122.52, 128.33, 128.33, 128.33, 128.33]"
HẺM XE HƠI 1 TRỤC - PHAN HUY ÍCH - 2 TẦNG BTCT - 3PN,"6,45 tỷ","84,87 triệu/m²",76 m²,"448/97, Đường Phan Huy Ích, Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh (Phường An Hội Tây, TP Hồ Chí Minh mới)","Kết cấu : 
1 trệt 1 lầu gồm 3 phòng ngủ 3 WC. ( Chủ tặng bản thiết kế 3D nếu khách cần sữa lại )
- Nhà có 2 sân rộng thoáng, sân trước siêu rộng để dc hơn 10 xe
- Hẻm nhựa thẳng trục Phan Huy Ích xe hơi 4 chỗ vào nhà.
 Khu dân cư an ninh, hẻm sạch sẽ.",,"Nhà ngõ, hẻm",76 m²,,"84,87 triệu/m²",Đã có sổ,3 phòng,,,Hoàn thiện cơ bản,,Hẻm xe hơi,,,,,"[101.42, 101.42, 105.04, 102.5, 114.29, 111.45, 103.65, 116.62, 124.7, 106.58, 114.29]"
"NHÀ 2 TẦNG LẦU - RẺ CHỈ 1,6 TỶ - QUANG TRUNG - P10- GÒ VẤP .","1,6 tỷ","133,33 triệu/m²",12 m²,"Đường Quang Trung, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh (Phường Gò Vấp, TP Hồ Chí Minh mới)","+ Vị trí gần Ngã 5 Chuồng Cún - Cty may 32. Khu vực tiện ích xung quanh .
+ Nhà 2 Tầng Full Công Năng sử dụng . Giá Rẻ 
+ thích hợp Đầu tư giữ Tiền làm Dịch vụ cho Sinh Viên . 
+ CHỈ 1,6 Tỷ Có Hộ Khẩu Thành Phố Hồ Chí Minh .
+ SHR -ĐẸP - KHÔNG QUY HOẠCH . KHÔNG LỘ GIỚI. - PHÁP LÝ CHUẨN .",,"Nhà ngõ, hẻm",12 m²,20 m²,"133,33 triệu/m²",Đã có sổ,2 phòng,1 phòng,2,Hoàn thiện cơ bản,,,3 m,4 m,,,"[107.46, 107.46, 106.79, 115.2, 115.2, 110.54, 110.54, 115, 109.26, 120.83, 110.7, 112.41, 112.5]"
"MT đẹp giá cực tốt, 4 x 15m 57m2, chỉ 8.7 tỷ tl chính chủ","8,7 tỷ","152,63 triệu/m²",57 m²,"Đường Thiên Hộ Dương, Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh (Phường Hạnh Thông, TP Hồ Chí Minh mới)","Mặt tiền Thiên Hộ Vương, P Hạnh Thông. p1 Gò Vấp cũ.
Vị trí đẹp tiện ích đầy đủ, giá tốt so với khu vực.
4 x 15m 57m2
Trệt lầu.
Nhà đẹp vào ở ngay, đường rộng xe hơi né nhau thoải mái.
Giá 8.7 tỷ tl",0934349588,"Nhà mặt phố, mặt tiền",57 m²,,"152,63 triệu/m²",Đã có sổ,2 phòng,3 phòng,,,,,4 m,15 m,,,[]
"🏡 NHÀ 2 TẦNG - HẺM THÔNG - THỐNGN NHẤT, GÒ VẤP - GIÁ 4 TỶ 7","4,7 tỷ","130,56 triệu/m²",36 m²,"Đường Thống Nhất, Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh (Phường An Hội Đông, TP Hồ Chí Minh mới)","🏡 NHÀ 2 TẦNG - HẺM THÔNG - THỐNGN NHẤT, GÒ VẤP - GIÁ 4 TỶ 7
Mã tin đăng: GVAHĐ22415086
📐 Diện tích: 36m² (4 x 9m) – vuông đẹp A4
✨ Ưu điểm nổi bật:
🔹 Kết cấu 2 tầng BTCT, ở ngay
🔹 2 phòng ngủ – 2 WC, công năng chuẩn
🔹 Căn góc 2 mặt thoáng, có sân để xe rộng
🔹 Hẻm thông, ô tô nhỏ đậu trong nhà
🔹 Tặng full nội thất xịn, dọn vào là ở
📍 Vị trí tiện lợi:
Ngay Thống Nhất, khu dân cư an ninh, di chuyển nhanh ra Quang Trung – Phan Văn Trị, đầy đủ tiện ích xung quanh.
📑 Pháp lý rõ ràng – hoàn công đầy đủ
🤝 Chủ thiện chí, giao dịch nhanh
📞 Liên hệ: Huy – ***
#nhagovap #thongnhat #nhapho #batdongsan #nhadepongay #hemthong #can_goc",0839382372,"Nhà ngõ, hẻm",36 m²,,"130,56 triệu/m²",Đã có sổ,2 phòng,2 phòng,2,Nội thất cao cấp,,Hẻm xe hơi,4 m,9 m,,,"[107.14, 107.86, 107.86, 110.94, 110.94, 107.14, 109.09, 109.09, 109.09, 110.61, 110.61, 110.61, 110.61]"
"NHÀ MỚI XÂY 5 TẦNG, HXH 10M, KHU DÂN TRÍ VIP SÁT BÌNH THẠNH, CHỈ 10,3T","10,3 tỷ","198,08 triệu/m²",52 m²,"Đường Lê Quang Định, Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh (Phường Hạnh Thông, TP Hồ Chí Minh mới)","☘️ KHU DÂN TRÍ VIP - XE HƠI VÀO NHÀ - LÊ QUANG ĐỊNH - SÁT BÌNH THẠNH - 5 TẦNG BTCT XÂY MỚI 100% - CHỈ 10,3 TỶ ( Thương lượng )

- Diện tích: 4.1m x 13m. 
- Kết cấu: trệt, lửng, 2 lầu, sân thượng đúc kiên cố.
- Công năng: 5PN khép kín, 6WC, P. Khách, P. Bếp,..
- Trước nhà 10m, xe hơi ngủ trong nhà, khu dân trí vip,…

☎️ ALO: *** Gặp Tuyết Mai",0333974346,"Nhà ngõ, hẻm",52 m²,200 m²,"198,08 triệu/m²",Đã có sổ,5 phòng,6 phòng,5,Hoàn thiện cơ bản,,Hẻm xe hơi,4.1 m,13 m,,,"[142.25, 106.84, 106.84, 114.69, 154, 154, 111.25, 111.25, 118.53, 178.24, 142.25, 142.25, 142.25]"
"Bán nhà đẹp Nguyễn Duy Cung, An Hội Tây, Gò Vấp, 60m2, 5 tỷ 48","5,48 tỷ","91,33 triệu/m²",60 m²,"Đường Nguyễn Duy Cung, Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh (Phường An Hội Tây, TP Hồ Chí Minh mới)","Bán nhà đẹp Nguyễn Duy Cung, phường 12 (An Hội Tây), Gò Vấp – 60m² – 3 phòng ngủ – full nội thất cao cấp – giá 5 tỷ 48 TL

Bán nhà Gò Vấp đường Nguyễn Duy Cung, phường 12 (An Hội Tây), vị trí đẹp, khu dân trí cao, an ninh yên tĩnh, thuận tiện di chuyển.
Gần chợ Phạm Văn Bạch, siêu thị Emart 2, trường Đặng Thùy Trâm, trung tâm thương mại và các tuyến đường lớn: Quang Trung, Phạm Văn Bạch, Tân Sơn, Lê Văn Thọ, Nguyễn Văn Khối.
Kết nối nhanh về các quận Tân Bình, Phú Nhuận, Bình Thạnh, Quận 12 và sân bay Tân Sơn Nhất.

Diện tích: 3.55m x 17m, công nhận 60m², diện tích sử dụng 110m².
Kết cấu: 1 trệt, 1 lầu, gồm 3 phòng ngủ, 3 toilet, phòng khách, bếp, sân thượng và sân phơi.
Nhà xây chắc chắn, thiết kế hiện đại, trang bị full nội thất cao cấp – chỉ việc xách vali vào ở ngay.

Pháp lý: Sổ hồng riêng, hoàn công đầy đủ, công chứng sang tên trong ngày.
Giá bán: 5.48 tỷ (thương lượng chính chủ).

Liên hệ Trang – để xem nhà thực tế và gặp chính chủ thương lượng giá. TO3ECTNCO3EC",,"Nhà ngõ, hẻm",60 m²,,"91,33 triệu/m²",Đã có sổ,3 phòng,,,Nội thất cao cấp,,,3.55 m,17 m,,,"[111.46, 118.21, 109.14, 109.08, 97.14, 97.14, 94.85, 94.85, 116.28, 116.91, 115.64, 128.99, 128.99]"
"Nhà đẹp 4 tầng hẻm 6m đồng bộ Phạm Văn Chiêu, Gò Vấp, ngang 4,2m, 7 ty","7,15 tỷ","140,20 triệu/m²",51 m²,"Đường Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh (Phường An Hội Tây, TP Hồ Chí Minh mới)","Bán Nhà đẹp khu đồng bộ – 4 tầng Phạm Văn Chiêu, P.14, Gò Vấp – hẻm 6m, chỉ 7 tỷ 15

📐 DT 4.2 x 12m vuông vức – xây 1 trệt 3 lầu, gồm phòng khách, bếp, 4 phòng ngủ, sân thượng thoáng.
🚘 Hẻm nhựa 6m xe hơi tránh, khu dân trí cao, an ninh tốt.
📍 Vị trí trung tâm: gần Quang Trung, Cây Trâm, Lê Văn Thọ, Phạm Văn Bạch, Tân Sơn, Phan Huy Ích.

📜 Sổ hồng riêng, hoàn công đầy đủ – không quy hoạch, công chứng nhanh.
💰 Giá bán: 7.15 tỷ (thương lượng chính chủ).

📞 Liên hệ Trang – để xem nhà ngay! TOOOCFFCTNC",,"Nhà ngõ, hẻm",51 m²,,"140,20 triệu/m²",Đã có sổ,4 phòng,,4,Nội thất cao cấp,,Hẻm xe hơi,4.2 m,12 m,,,"[105.71, 108.33, 105.8, 104, 104, 107.82, 114.29, 114.29, 120.59, 122.49, 122.49, 122.49, 122.49]"
"QUANG TRUNG, HXH THÔNG, 4 TẦNG, 4PN, NHỈNH 7 T.Ỷ","7,3 tỷ","190,60 triệu/m²",38.3 m²,"Đường Quang Trung, Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh (Phường An Hội Tây, TP Hồ Chí Minh mới)","- Diện tích: 38,3m2 
- Kết cấu: 4 tầng: 4 phòng ngủ, sân thượng, phòng thờ. 
- HXH thông, Quang Trung, Tân Sơn, Phạm Văn Chiêu. Lô góc, thoáng. 
- Sổ đẹp, nhà mới, hoàn công đủ, sẵn sàng công chứng. 

Z📲 : *****_7_9_7_8 (Ms2664)

#nhaphogovap 
#nhadepgovap 
#nhangongovap 
#nharegovap 
#7978nhachuangovap",,"Nhà ngõ, hẻm",38.3 m²,,"190,60 triệu/m²",Đã có sổ,4 phòng,3 phòng,4,Nội thất cao cấp,,Hẻm xe hơi,3.7 m,10.3 m,,,"[124.25, 124.25, 94.63, 102.29, 131.29, 106.48, 106.48, 97.9, 121.27, 129.48, 125, 102.64, 102.64]"
"🏡 Bán nhà Nguyễn Tư Giản, Thang Máy,5 Tầng","8,8 tỷ",176 triệu/m²,50 m²,"Đường Nguyễn Tư Giản, Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh (Phường An Hội Tây, TP Hồ Chí Minh mới)","🏡 Bán nhà Nguyễn Tư Giản, P12, Gò Vấp – hẻm ô tô – thang máy – 5 tầng – nhà mới
 • Diện tích: 50m² (4 x 12.5), vuông vức
 • Kết cấu: 1 trệt 1 lửng 3 lầu + sân thượng, BTCT kiên cố
 • Công năng: 5PN – 6wc – phòng khách – bếp rộng
 • Có thang máy – nhà mới đẹp – vào ở ngay

🚗 Hẻm nhựa sạch, ô tô ra vào thoải mái, cách mặt tiền Nguyễn Tư Giản 30m
📍 Gần chợ Phạm Văn Bạch – sân bay Tân Sơn Nhất – Phạm Văn Bạch – Tân Sơn – Phan Huy Ích
👉 Khu dân cư an ninh, yên tĩnh, phù hợp ở gia đình hoặc cho thuê đầu tư

📕 Sổ hồng riêng – hoàn công đầy đủ",,Nhà phố liền kề,50 m²,,176 triệu/m²,,5 phòng,Nhiều hơn 6 phòng,5,Nội thất đầy đủ,,Hẻm xe hơi,4 m,12.5 m,,,[]
Nhà Phố 40m2 1Lau 2Pn Full NT Góc 2 Mặt Tiền Hẻm 497 Thống Nhất,"5,3 tỷ","132,50 triệu/m²",40 m²,"Đường Thống Nhất, Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh (Phường An Hội Đông, TP Hồ Chí Minh mới)","🆘🆘LÊN SÓNG CĂN NHÀ PHỐ TUYỆT ĐẸP GÓC 2 MẶT TIỀN GẦN TRƯỜNG PHAN TÂY HỒ - PHAN CHU TRINH:
🏡Vị trí: Thống Nhất, Phường 16, Quận Gò Vấp (nay là Phường An Hội Đông)
______________✨______________
💰Giá chỉ: 5.3 tỷ TL
✅Diện tích: 3.6 x 11.5m; DT: 60.4m 
✅Xây dựng: 1 trệt 1 lầu 
✅ Công năng gồm: sân để xe, PK, P.Bếp, 2PN, 2WC 
✅Vị trí cực VIP gần trường học Phan Chu Trinh, Phan Tây Hồ, chợ,
✅Nhà hướng Tây Bắc
✅SHR hoàn công đầy đủ - công chứng ngay 
🎁Tặng full nội thất cao cấp theo nhà chỉ việc xách vali vào ở👌🏻 
💕 Hỗ trợ vay ngân hàng tối đa 
📲LH: #NguyễnNgọc để xem nhà #NhàĐấtNguyễnNgọc",0902003441,"Nhà ngõ, hẻm",40 m²,60.4 m²,"132,50 triệu/m²",Đã có sổ,2 phòng,2 phòng,1,Nội thất cao cấp,,Hẻm xe hơi,3.6 m,11.5 m,,,"[107.14, 107.86, 107.86, 110.94, 110.94, 107.14, 109.09, 109.09, 109.09, 110.61, 110.61, 110.61, 110.61]"
NHÀ MỚI FULL NỘI THẤT- 4x8- 2 TẦNG- THỐNG NHẤT P16- CHỈ 4.65 TỶ TL,"4,65 tỷ","145,31 triệu/m²",32 m²,"Đường Thống Nhất, Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh (Phường An Hội Đông, TP Hồ Chí Minh mới)","🏡 NHÀ FULL NỘI THẤT – P16 GÒ VẤP – 2 LẦU BTCT – VÀO Ở NGAY

📍 Vị trí: Hẻm ba gác, cách mặt tiền Thống Nhất chỉ 80m, Phường 16, Gò Vấp – khu dân cư an ninh, di chuyển thuận tiện.

📐 Diện tích: 4m × 8m
🏗 Kết cấu: 1 trệt 1 lầu BTCT
🛏 Công năng: 2 phòng ngủ – 2 WC, bố trí hợp lý
🛋 Nhà full nội thất, dọn vào ở ngay.

💰 Giá bán: 4,65 tỷ (thương lượng tốt)

☎️ Liên hệ: *** – Gặp Quốc xem nhà 24/7",,"Nhà ngõ, hẻm",32 m²,,"145,31 triệu/m²",Đã có sổ,2 phòng,2 phòng,2,Nội thất đầy đủ,,,4 m,8 m,,,"[107.14, 107.86, 107.86, 110.94, 110.94, 107.14, 109.09, 109.09, 109.09, 110.61, 110.61, 110.61, 110.61]"
"Bán nhà hẻm xe hơi, Nguyễn Tư Giản, Gò Vấp, 44m2, chỉ 4,39 tỷ, còn TL","4,39 tỷ","99,77 triệu/m²",44 m²,"Đường Nguyễn Tư Giản, Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh (Phường An Hội Tây, TP Hồ Chí Minh mới)","Bán nhà đúc thật HXH thông, vị trí cực đẹp Nguyễn Tư Giản, F12, Gò Vấp.
 - Diện tích: 4 X 11 công nhận 44m2 đất, Diện tích sử dụng 88m2 .
- Kết cấu: Trệt 1 lầu đúc BTCT. Gồm có sân để xe, PK, PB, 2phòng ngủ, 2 tolet, ban công rộng , giếng trời ...
- Hẻm 4m xe hơi vào nhà. 
- Vị trí cực đẹp. Gần Emart2 Phan Huy Ích, gần chợ Tân Sơn, trường học ....
- Tiện ích xung quanh đầy đủ, gần nhà ga T3.
- Pháp lý chuẩn, công chứng nhanh.
Liên hệ em để được tư vấn và hỗ trợ xem nhà miễn phí nhé.
Ms 12 47ntc",0988998567,"Nhà ngõ, hẻm",44 m²,80 m²,"99,77 triệu/m²",Đã có sổ,2 phòng,2 phòng,2,,,Hẻm xe hơi,4 m,11 m,,,"[78.35, 113.71, 113.71, 110.29, 112, 114.06, 114.06, 123.48, 128.41, 128.41, 137.83, 136.29, 136.29]"
"CHỦ NHÀ QUYẾT BÁN NÊN CỰC GIẢM CÒN 6,45 TỶ CHO 82 M2, NHÀ 2 MẶT HXH","6,45 tỷ","78,66 triệu/m²",82 m²,"Đường Quang Trung, Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh (Phường An Hội Tây, TP Hồ Chí Minh mới)","💥 NHÀ 2 MẶT HẺM ĐANG CHO THUÊ 14TR/THÁNG - QUANG TRUNG  P12 GÒ VẤP -NGANG 4.2M X20M - 2 TẦNG - 💢 kết cấu : Ngang 4.2mx20m  - 2  Tầng - 4PN 4WC.💢 .Tiện ích xung quanh đầy đủ , canh Trường cấp 2 Tân Sơn , cấp 1 Đặng thị trâm, trạm y tế Phường 12 Gò Vấp , cổng sân Gold , chợ Phạm Văn Bạch,... Cách nhà ga T3 Tân Sơn Nhất 1km.....
💢 Sổ hồng riêng công chứng ngay chủ.
 >>> Giá 6,45 tỷ thương lượng",0865506730,"Nhà ngõ, hẻm",82 m²,,"78,66 triệu/m²",Đã có sổ,4 phòng,4 phòng,4,,,Hẻm xe hơi,4.2 m,20 m,,,"[124.25, 124.25, 94.63, 102.29, 131.29, 106.48, 106.48, 97.9, 121.27, 129.48, 125, 102.64, 102.64]"
Biệt Thự Phố Thu Nhỏ – Cao Cấp Ở Là Mê (Gò Vấp),"18,45 tỷ","153,75 triệu/m²",120 m²,"Đường Phạm Văn Chiêu, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh (Phường Thông Tây Hội, TP Hồ Chí Minh mới)","Siêu Phẩm Nhà Đẹp – Thang Máy – Karaoke – Gym – Gara Ô Tô Biệt Thự Phố Thu Nhỏ 4x30m – Gò Vấp

📍 Vị trí: Phạm Văn Chiêu, P. Thông Tây Hội (P9 Gò Vấp)
👉 Hẻm xe hơi 1 trục, gần Chợ Thạch Đà, khu dân cư văn minh

📐 Diện tích: 4m x 30m – Hướng Đông Nam
🏗 Kết cấu: 1 trệt + lửng + 4 lầu – Nhà mới, hoàn công đầy đủ

✨ Công năng đẳng cấp:
 • Thang máy
 • Gara xe hơi
 • Sân vườn thoáng mát
 • Phòng khách – bếp sang trọng
 • 4 phòng ngủ lớn
 • Phòng karaoke riêng
 • Phòng thể thao đa năng
 • Sân thượng trước & sau

🛋 Full nội thất cao cấp – phong cách hiện đại
👉 Chỉ việc xách vali vào ở

💰 Giá bán: 18.450 tỷ (thương lượng mạnh cho khách thiện chí)

📞 Liên hệ xem nhà trực tiếp – hàng thật, giá thật",0915878788,"Nhà ngõ, hẻm",120 m²,,"153,75 triệu/m²",,6 phòng,6 phòng,,Nội thất cao cấp,,Hẻm xe hơi,4 m,30 m,,,"[101.79, 103.76, 114.51, 114.51, 111.06, 114.1, 114, 114, 126.93, 127.78]"
"QUANG TRUNG 2 TẦNG 96m2 MỚI CỨNG, 10TR/TH","5,6 tỷ","116,67 triệu/m²",48 m²,"Đường Quang Trung, Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh (Phường Thông Tây Hội, TP Hồ Chí Minh mới)","NHÀ TO SẴN DÒNG TIỀN 10Tr/Tháng.
HẺM Ô TÔ THÔNG, SỔ HỒNG RIÊNG CHUẨN

🏠 BÁN NHÀ MỚI – GÒ VẤP – GIÁ TỐT

📍 Địa chỉ: 656 // Quang Trung, P.11, Gò Vấp, TP.HCM hẻm xe hơi thông 
➡️ Cách vài căn ra mặt tiền Quang Trung
➡️ Hẻm thông, khu dân cư ổn định

📐 Diện tích công nhận : trệt 48 tầng 48
🏗 Kết cấu: Trệt + Lầu
🛏 2 Phòng ngủ – 🚿 2 WC
✨ Nhà mới cứng, dọn vào ở ngay

💰 Giá bán: 5.6 tỷ (thương lượng nhẹ)

📄 Hoàn công cập nhật, bổ sung trang sau bao đổi sổ mới

💵 Đang cho thuê: 10 triệu/tháng – có sẵn dòng tiền",,"Nhà ngõ, hẻm",48 m²,96 m²,"116,67 triệu/m²",Đã có sổ,2 phòng,2 phòng,2,,,,3.5 m,13.71 m,,,"[104.24, 109.38, 108.63, 108.63, 110.71, 94.55, 94.55, 110.23, 111.86, 114.29, 115.53, 102.75, 102.75]"
