tieu_de,gia_ban,don_gia,dien_tich,dia_chi,mo_ta,dien_thoai,loai_hinh,dien_tich_dat,dien_tich_su_dung,gia_m2,giay_to_phap_ly,so_phong_ngu,so_phong_ve_sinh,tong_so_tang,tinh_trang_noi_that,huong_cua_chinh,dac_diem,chieu_ngang,chieu_dai,ma_can,ten_phan_khu_lo,bieu_do_gia
"❎ Nhà Bình Thạnh, giá Hóc Môn❎ Gần ngay chợ Bà Chiểu - Bình Thạnh, quậ","4,8 tỷ","137,14 triệu/m²",35 m²,"Đường Vũ Tùng, Phường 1, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Gia Định, TP Hồ Chí Minh mới)","❎ Nhà Bình Thạnh, giá Hóc Môn❎ Gần ngay chợ Bà Chiểu - Bình Thạnh, quận 3, 1 chỉ 7 phút.
✍️ Hàng hiếm, chính chủ bán.
✍️ Diện tích khủng 35m2 nở hậu đẹp, chỉ nhỉnh 4 tỷ8 
✍️ Hẻm trước nhà 3m, cách xe hơi khoảng 20m.

- Kết cấu 1 trệt 1 lầu, có gác lửng.
- Chính chủ ở lâu năm, nay bán mua nhà lớn.
- Hẻm trước nhà 3m, 20m ra xe hơi.
- Nhà xây dựng kiêng cố, phía sau có sân rộng rãi.
- Bao gồm 3 phòng ngủ.
- Nhà chỉ sơn phết sơ ở ngay.
- Nhà đang vay bank, khách mua hỗ trợ lấy sổ.
- Sổ chính chủ.",,"Nhà ngõ, hẻm",35 m²,63 m²,"137,14 triệu/m²",Đã có sổ,3 phòng,2 phòng,2,Bàn giao thô,Tây Nam,Nhà nở hậu,3.3 m,15 m,,,"[114.21, 132.45, 132.45, 138.58, 159.52, 157.22, 143.26, 143.26, 166.67, 180.95, 180.95, 180.95, 180.95]"
🏡🔥 NHÀ LÔ GÓC – HẺM Ô TÔ THÔNG – PHAN VĂN TRỊ – GẦN CHỢ CÂY THỊ – 8 TỶ,8 tỷ,"126,98 triệu/m²",63 m²,"Đường Phan Văn Trị, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Lợi Trung, TP Hồ Chí Minh mới)","🏡🔥 NHÀ LÔ GÓC – HẺM Ô TÔ THÔNG – PHAN VĂN TRỊ – GẦN CHỢ CÂY THỊ – 8 TỶ 🔥🏡
📍 Bình Thạnh
 • Diện tích: 63m² – lô góc thoáng
 • Kết cấu: 1 trệt 3 lầu + sân thượng
 • Công năng: Phòng khách, bếp, 3PN – 3WC
 • Hẻm ô tô thông, ra Phan Văn Trị nhanh
 • Gần chợ Cây Thị, tiện ích đầy đủ
 • Phù hợp ở gia đình, văn phòng, kinh doanh, cho thuê
 • Chủ thiện chí bán, giá tốt phân khúc

💰 Giá chào: 8 tỷ (thương lượng)

📲 ***
Xem nhà miễn phí – Tư vấn p.háp lý – Định giá – Hỗ trợ 24/24
#BanNhaBinhThanh
#PhanVanTri
#ChoCayThi
#LoGoc
#HemOtoThong",0913579868,"Nhà ngõ, hẻm",63 m²,130 m²,"126,98 triệu/m²",Đã có sổ,3 phòng,3 phòng,4,Nội thất đầy đủ,Nam,Hẻm xe hơi,8 m,8 m,,,"[146.49, 132.64, 121.48, 116.48, 128, 165.85, 165.85, 132.58, 138.06, 124.55, 165, 163.94, 157.6]"
🔥 MẶT TIỀN KINH DOANH – Nguyễn Huy Lượng – ĐỐI DIỆN Bệnh viện Ung Bướu,"6,3 tỷ",210 triệu/m²,30 m²,"Đường Nguyễn Huy Lượng, Phường 14, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Thạnh, TP Hồ Chí Minh mới)","🔥 MẶT TIỀN KINH DOANH – Nguyễn Huy Lượng – ĐỐI DIỆN Bệnh viện Ung Bướu – CHỈ 6.3 TỶ 🔥

📍 Vị trí: Nguyễn Huy Lượng, Phường 14, Bình Thạnh – trục kinh doanh sầm uất, lưu lượng người qua lại lớn.

📐 Diện tích: 30m² (3.2 x 9.5m)
🏗️ Kết cấu: 1 trệt + 3 lầu + sân thượng
🛏️ Công năng: 4PN – 3WC – mặt bằng kinh doanh café

✨ Điểm mạnh hiếm:
 • Mặt tiền trước – sau (2 mặt tiền) cực kỳ hiếm
 • Mặt trước đang KD café; mặt sau mở cửa phụ/kho linh hoạt
 • Dễ cho thuê biển quảng cáo, mở phòng khám, spa, văn phòng đại diện

📕 Pháp lý: Sổ hồng riêng – công chứng ngay

💰 Giá chào: 6.3 tỷ (còn thương lượng)",0913579868,"Nhà mặt phố, mặt tiền",30 m²,150 m²,210 triệu/m²,Đã có sổ,4 phòng,3 phòng,5,Hoàn thiện cơ bản,Đông,,3.2 m,9.5 m,,,"[200, 197.62, 200, 202.38, 200, 200, 211.11, 211.11, 212.33, 213.79, 213.79, 213.79, 213.79]"
Nhà đẹp,"7,8 tỷ","278,57 triệu/m²",28 m²,"Đường Điện Biên Phủ, Phường 15, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Gia Định, TP Hồ Chí Minh mới)",Bán 7ty8 TL shr hoàn công 4*7m 4 tần 3 PN hẻm xe hơi đường điện biên phủ phường 15 bình thạnh cạnh Q1,0367170554,"Nhà ngõ, hẻm",28 m²,,"278,57 triệu/m²",Đã có sổ,3 phòng,4 phòng,4,,,Hẻm xe hơi,4 m,7 m,,,"[152, 119.11, 143.74, 143.74, 148.75, 148.75, 154.57, 152.24, 132.6, 132.6, 175, 175, 175]"
NHÀ 3 TẦNG SÁT HẺM XE HƠI PHAN VĂN TRỊ BÌNH THẠNH CHỈ HƠN 3 TỶ,"3,7 tỷ","180,49 triệu/m²",20.5 m²,"Đường Phan Văn Trị, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Lợi Trung, TP Hồ Chí Minh mới)","-Nhà 1 trệt 2 lầu sát hẻm xe hơi , chỉ sau 1 căn xe hơi đỗ cửa .vị trí cực đẹp jhhiếm nhà bán đường Phan Văn Trị p11 
- DT : 20.5m2 ngang 5 dài 4.2 không quy hoạch không lộ giới 
- Sổ riêng vuông vứt sẵn công chứng",0987202882,"Nhà ngõ, hẻm",20.5 m²,60 m²,"180,49 triệu/m²",Đã có sổ,2 phòng,2 phòng,3,,,,5 m,4.2 m,,,"[146.49, 132.64, 121.48, 116.48, 128, 165.85, 165.85, 132.58, 138.06, 124.55, 165, 163.94, 157.6]"
"Nhà 4 Tầng _ Bùi Đình Tuý_ Bình Thạnh, 2 Phòng Ngủ Chỉ 4tỷ25","4,25 tỷ","177,08 triệu/m²",24 m²,"Đường Bùi Đình Tuý, Phường 14, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Thạnh, TP Hồ Chí Minh mới)","Trệt + 2 lầu + sân thượng đúc BTCT, có sẵn 2 phòng ngủ, 3wc, phòng khách và bếp tầng trệt, sân thượng rộng view Landmark.",,"Nhà ngõ, hẻm",24 m²,96 m²,"177,08 triệu/m²",Đã có sổ,2 phòng,3 phòng,4,Hoàn thiện cơ bản,,Hẻm xe hơi,4 m,6 m,,,"[112.5, 115.85, 115.85, 96.88, 119.05, 133.33, 137.93, 137.93, 142.86, 147.06, 147.06, 147.06, 147.06]"
Bán nhà mặt tiền khu cho thuê căn hộ cao cấp,36 tỷ,"198,90 triệu/m²",181 m²,"Đường Ngô Tất Tố, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Thạnh Mỹ Tây, TP Hồ Chí Minh mới)","Bán nhà cấp 4 tiện xây dựng Văn phòng và CHDV cao cấp. Sát Nguyễn Hữu Cảnh ra Q1, Thủ thiêm chỉ 2p. Khu rất an ninh.",0705600964,"Nhà mặt phố, mặt tiền",181 m²,300 m²,"198,90 triệu/m²",Đã có sổ,4 phòng,4 phòng,1,,Đông,,4.2 m,48 m,,,[]
🍀VÂN KIỀU AN CƯ🍀NGUYỄN CỬU VÂN | 34M2 | HẺM XE TẢI - SỔ VUÔNG VỨC,"5,8 tỷ","170,59 triệu/m²",34 m²,"Đường Nguyễn Cửu Vân, Phường 17, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Gia Định, TP Hồ Chí Minh mới)","🍀VÂN KIỀU AN CƯ🍀
🏡 SIÊU PHẨM NGUYỄN CỬU VÂN – P. GIA ĐỊNH, BÌNH THẠNH - 💋34M2🔥

✨ SÁT HẺM XE TẢI – KHU HIẾM NHÀ BÁN – SỔ VUÔNG A4 – DỌN VÀO Ở NGAY

📐 Thông số nhanh:
 • Kết cấu: 1 trệt + 1 lầu
 • Công năng: 2PN – 2WC

📍 Mô tả chi tiết:
 • Vị trí đẹp đường Nguyễn Cửu Vân, phường Gia Định, Bình Thạnh
 • Hẻm trước nhà 2m, chỉ 20m ra hẻm xe tải thông
 • Nhà mới đẹp, thiết kế gọn gàng, tối ưu công năng
 • Phù hợp mua ở lâu dài hoặc đầu tư cho thuê
 • Khu dân cư hiện hữu, an ninh, cực hiếm nhà bán
 • Pháp lý chuẩn: Sổ hồng riêng, vuông A4, công chứng ngay

💰 Giá chốt: 5.8 tỷ (thương lượng chính chủ)",0357753823,"Nhà ngõ, hẻm",34 m²,,"170,59 triệu/m²",Đã có sổ,2 phòng,2 phòng,2,Nội thất đầy đủ,,Hẻm xe hơi,,,,,"[136.21, 136.21, 163.27, 163.27, 132.5, 135.42]"
BÁN GẤP TRƯỚC TẾT NHÀ XỊN 4TẦNG BTCT _75 M2_ 4 PN_5 WC_,"7,5 tỷ",100 triệu/m²,75 m²,"Đường Bạch Đằng, Phường 24, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Thạnh, TP Hồ Chí Minh mới)","🌹🌹 CẦN TÌM CHỦ MỚI TÂN GIA NHÀ TRƯỚC TẾT.
🟥 BẠCH ĐẰNG _4 TẦNG BTCT _4 PN _5 WC KHÉP KÍN, CÓ 1 PN DƯỚI TRỆT ChO NG LỚN TUỔI.SỔ VUÔNG , CÔNG NHẬN ĐỦ, HOÀN CÔNG ĐỦ, CÔNG CHỨNG NGAY. Gọi Oanh xem nhà ngay.",0587799424,"Nhà ngõ, hẻm",75 m²,,100 triệu/m²,Đã có sổ,4 phòng,5 phòng,4,,,Hẻm xe hơi,5 m,15 m,,,"[143.64, 157.83, 157.83, 157.83, 153.51, 161.46, 146.67, 146.67, 146.67, 148.98, 148.98, 148.98, 148.98]"
"Nhà hẻm 480,dt:179m2 3 phòng ngủ",6 tỷ,"33,52 triệu/m²",179 m²,"480/65/24, Đường Bình Quới, Phường 28, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Quới, TP Hồ Chí Minh mới)","Bán nhà hẻm 480 Bình Quới dt:179m2 sổ công nhận 166m2 thổ cư ,nhà có 3 phòng ngủ,2 toilet, hẻm trước nhà 2,5m cách hẻm xe tải 10m, sát trường mầm non p28 cũ,cần bán gấp về quê chăm sóc cha mẹ già nên bán giá rẻ hơn thị trường rất nhiều giá 36triệu/m2 còn thương lượng LH:*** (chính chủ)",0938004997,"Nhà ngõ, hẻm",179 m²,179 m²,"33,52 triệu/m²",Đã có sổ,3 phòng,2 phòng,,Nội thất đầy đủ,Đông Bắc,Nhà nở hậu,,,,,[]
"GÓC 3 MT PHAN VĂN TRỊ,P14 BT, 6X20M, 5 TẦNG, HĐT 70TR GIÁ CHỈ 22 TỶ TL",22 tỷ,200 triệu/m²,110 m²,"Đường Phan Văn Trị, Phường 14, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Thạnh, TP Hồ Chí Minh mới)","GÓC 3 MẶT TIỀN – PHAN VĂN TRỊ, P14, BÌNH THẠNH – DÒNG TIỀN CAO khu kinh doanh sầm uất, nhận diện thương hiệu cực tốt, phù hợp khai thác đa ngành.

🔹 Diện tích: Ngang 5.5m x Dài 20m
🔹 Kết cấu: 5 tầng kiên cố, tối ưu khai thác
🔹 Pháp lý: Sổ hồng riêng, hoàn công đầy đủ
🔹 Hiện trạng: Có HĐT cũ 70 triệu/tháng, dòng tiền ổn định

✨ Ưu điểm nổi bật:
Góc 3 mặt tiền cực hiếm trên trục Phan Văn Trị
Lượng xe cộ đông đúc, kinh doanh – cho thuê luôn kín khách
Thích hợp: văn phòng công ty, ngân hàng, spa, thẩm mỹ viện, showroom, CHDV cao cấp

💰 Giá bán: 22 tỷ – thương lượng mạnh",,"Nhà mặt phố, mặt tiền",110 m²,,200 triệu/m²,,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,5,,,,5.5 m,20 m,,,[]
🔥 BÁN NHÀ 2 MẶT HẺM XE HƠI – THÔNG XÔ VIẾT NGHỆ TĨNH 🔥,"17,5 tỷ","162,04 triệu/m²",108 m²,"Đường Xô Viết Nghệ Tĩnh, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Thạnh, TP Hồ Chí Minh mới)","🔥 BÁN NHÀ 2 MẶT HẺM XE HƠI – THÔNG XÔ VIẾT NGHỆ TĨNH 🔥
💰 Giá: 17,5 tỷ (TL)
📍 643/ Xô Viết Nghệ Tĩnh, Bình Thạnh
📐 DT: 7 x 15.5– 108m²

🏠 Nhà cấp 4 sạch đẹp, tiện xây mới
📜 Pháp lý: Sổ hồng riêng, 1 đời chủ, công chứng nhanh

✨ Ưu điểm:
 • 2 mặt hẻm xe hơi thông, cực hiếm
 • Khu dân cư an ninh, yên tĩnh
 • Gần Làng Đại Học, nhu cầu ở & thuê cao
 • Kết nối Q1 – Phú Nhuận – Thủ Đức

🏗️ Khai thác: Xây biệt thự, CHDV, văn phòng, đầu tư giữ tài sản
📞 ***",0903106032,"Nhà ngõ, hẻm",108 m²,,"162,04 triệu/m²",Đã có sổ,4 phòng,4 phòng,,Nội thất đầy đủ,,Hẻm xe hơi,7 m,15.5 m,,,"[134.62, 135.94, 130, 131.47, 131.47, 133.33, 137.65, 150, 150, 140, 140, 140, 140]"
🍀VÂN KIỀU AN CƯ🍀🏩BÙI ĐÌNH TUÝ | 38M2 | NỞ HẬU 4.4M - FULL CÔNG NĂNG,"5,99 tỷ","157,63 triệu/m²",38 m²,"Đường Bùi Đình Tuý, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Thạnh, TP Hồ Chí Minh mới)","🍀VÂN KIỀU AN CƯ🍀
🏩 SIÊU PHẨM BÙI ĐÌNH TUÝ– PHƯỜNG BÌNH THẠNH - 🔥38M2🔥

✨ Nhà đẹp – Full nội thất – Nở hậu tài lộc – Chỉ 5.x tỷ ✨

📍 Vị trí:
 • Khu ẩm thực, giải trí sầm uất ngày & đêm
 • Hẻm ba gác thông, di chuyển thuận tiện

📐 Thông số nhanh:
 • Diện tích: 3.6 x 10m – CN 38m²
 • Nở hậu: 4.4m (💋rất hiếm – phong thủy đẹp)
 • Kết cấu: 1 trệt + 1 lầu BTCT
 • Công năng: 3PN – 3WC

🧱 Mô tả chi tiết:
 • Nhà xây BTCT kiên cố, thiết kế hiện đại, tối ưu công năng
 • Có 1 phòng ngủ trệt, cực kỳ phù hợp người lớn tuổi
 • Phòng khách & bếp thiết kế mở, ban công thoáng mát
 • Tặng FULL nội thất sang xịn mịn:
Sofa, máy lạnh, bàn ăn, tủ bếp, giường, nệm, tủ áo, bàn trang điểm… chỉ việc xách vali vào ở
 • Khu dân cư hiện hữu, an ninh, không quy hoạch – không lộ giới
 • Phù hợp ở lâu dài hoặc cho thuê giữ tiền

📕 Pháp lý:
 • Sổ hồng riêng, hoàn công đầy đủ
 • Pháp lý sạch – công chứng ngay

💰 Giá chốt: 5.99 TỶ (thương lượng chính chủ)

📞 Liên hệ:
☎️ Alo ***8 – Vân Kiều An Cư
🔑 Xem nhà thực tế – làm việc chính chủ – hỗ trợ pháp lý trọn gói

#VanKieuAnCu #NhaDepBinhThanh #ChuVanAn #NhaNoHau #NhaFullNoiThat #BatDongSanBinhThanh",0357753823,"Nhà ngõ, hẻm",38 m²,,"157,63 triệu/m²",,3 phòng,4 phòng,,,,,3.6 m,10 m,,,"[128.03, 123.61, 165.15, 165.15, 153.98, 150.82, 154.98, 152.5, 110, 110]"
🍀VÂN KIỀU AN CƯ🍀NƠ TRANG LONG |55M2| CHỈ 150TR/M2 - HẺM XE HƠI,"7,9 tỷ","143,64 triệu/m²",55 m²,"Đường Nơ Trang Long, Phường 14, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Thạnh, TP Hồ Chí Minh mới)","🍀VÂN KIỀU AN CƯ🍀

🏢 NƠ TRANG LONG – BÌNH THẠNH - 💋💋💋55M2 💋
📍 Gần mặt tiền – Hẻm xe hơi 6m kinh doanh – C4 tiện xây mới – Sổ nở hậu

📐 Thông số nhanh:
 • Diện tích: 55m² (nở hậu đẹp)
 • Ngang: 4m – Dài: 15m
 • Hiện trạng: Nhà C4
 • Hẻm: HXH 6m, xe hơi tránh nhau, thông vòng quanh

✨ Mô tả chi tiết:
 • Vị trí trung tâm Bình Thạnh, sát mặt tiền Nguyễn Xí, kết nối nhanh Phạm Văn Đồng – ra sân bay chỉ vài phút
 • Hẻm rộng 6m, kinh doanh tốt, khu dân trí cao, an ninh, sạch sẽ
 • Nhà cấp 4 tiện xây mới: xây ở, building mini, CHDV cho thuê giữ tiền cực tốt
 • Không lộ giới – sổ nở hậu, phong thủy đẹp
 • Pháp lý chuẩn chỉnh, công chứng ngay trong ngày

💰 Giá chốt: 7.9 tỷ
👉 Chỉ khoảng ~150 triệu/m² – mức giá rất hiếm ở Bình Thạnh

📞 Liên hệ: Vân Kiều An Cư
📲 Alo: ***8
🔑 Nguồn chính chủ – hỗ trợ xem nhà nhanh – làm việc trực tiếp",0357753823,"Nhà ngõ, hẻm",55 m²,,"143,64 triệu/m²",Đã có sổ,2 phòng,2 phòng,2,Bàn giao thô,,Hẻm xe hơi,4 m,15 m,,,[]
SIÊU PHẨM CHU VĂN AN PHƯỜNG BÌNH THẠNH - 2 TẦNG LẦU - 3PN 3WC FULL,"5,99 tỷ","157,63 triệu/m²",38 m²,"Đường Chu Văn An, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Thạnh, TP Hồ Chí Minh mới)","Vị trí: Ngay Chu Văn An, Phường Bình Thạnh. Giáp Nơ Trang Long, Lê Quang Định, Bùi Đình Túy, khu ẩm thực
+ Khu dân cư hiện hữu, ko quy hoạch, lộ giới.
Phù hợp để ở, hoặc cho thuê giữ tiền.
Pháp lý sạch, hoàn công đủ, sổ đẹp cất két, công chứng ngay.",0789416797,"Nhà ngõ, hẻm",38 m²,38 m²,"157,63 triệu/m²",Đã có sổ,3 phòng,3 phòng,2,Nội thất cao cấp,Đông Bắc,,3.8 m,10 m,,,"[132.67, 132.67, 169.64, 169.64, 133.33, 133.33, 148.64, 148.64, 136.36, 156.25, 143.79, 171.74, 171.74]"
"HẺM 5M, NHÀ CẤP4, DT 52m2(3.6 x 14.5), Nguyễn Xí Bình Thạnh, chỉ 7.9ty","7,9 tỷ","151,92 triệu/m²",52 m²,"Đường Nguyễn Xí, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Lợi Trung, TP Hồ Chí Minh mới)","📌 Vị trí: gần ngã tư Nơ Trang Long, giáp Phạm Văn Đồng.
🌻 Hẻm Ô TÔ né nhau, cách chợ 10m, cách mặt tiền 50m.
🌻 Phù hợp vừa ở vừa kinh doanh, hoặc xây CHDV.
🌻 Sổ hồng riêng, vuông nở hậu tài lộc.
 ☎️ L/h Toàn xem nhà gấp ***
BT495
#nhaphobinhthanhBT #ToannhaphoSG #timkhachchonha",,"Nhà ngõ, hẻm",52 m²,,"151,92 triệu/m²",Đã có sổ,2 phòng,,,,,Hẻm xe hơi,,,,,"[130, 130, 130, 177.82, 177.82, 158.33, 158.33, 167.57, 172.55, 172.55, 162, 158.1, 158.1]"
💵: 48m2 - Nhỉnh 6 TỶ - 2 MẶT HẺM XE HƠI HOÀNG HOA THÁM - BÌNH THẠNH,6 tỷ,125 triệu/m²,48 m²,"Đường Hoàng Hoa Thám, Phường 7, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Gia Định, TP Hồ Chí Minh mới)","💵: 48m2 - Nhỉnh 6 TỶ - 2 MẶT HẺM XE HƠI HOÀNG HOA THÁM - BÌNH THẠNH
📐 Diện tích: 4 x 11m (48m²) – nở hậu 4.7m
🏗 Kết cấu: 1 trệt 1 lầu – 2PN, 2WC, ban công, sân để xe
🚗 2 mặt hẻm trước sau

Liên hệ: *** - Long BDS",0763999979,"Nhà ngõ, hẻm",48 m²,100 m²,125 triệu/m²,Đã có sổ,2 phòng,2 phòng,1,Hoàn thiện cơ bản,,Hẻm xe hơi,4 m,11 m,,,"[138.46, 134.66, 134.66, 155.56, 142.38, 142.38, 142.38, 142.64, 171.25, 171.25, 170, 170, 170]"
"Bán nhà MẶT TIỀN Nguyễn Thượng Hiền, Bình Thạnh, 145m2, 3 tầng, 15 tỷ.",15 tỷ,"103,45 triệu/m²",145 m²,"Đường Nguyễn Thượng Hiền, Phường 5, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Lợi Trung, TP Hồ Chí Minh mới)","# HHNTH008
Bán nhà MẶT TIỀN Nguyễn Thượng Hiền, Bình Thạnh, 145m2, 3 tầng, 15 tỷ.
🔥🔥🔥 MẶT TIỀN - LÔ GÓC- KINH DOANH ĐA NGHÀNH NGHỀ. 🔥🔥🔥
🍀Mô tả🍀
👉 Diện tích, kết cấu:
145m2
3 tầng, 5PN, 5WC
👉 Vị trí:
Mặt tiền
Vị trí giáp Phú Nhuận, Bình Thạnh, thuận tiện ra sân bay Tân Sơn Nhất.
Gần chợ, siêu thị, trường học các cấp.
Khu vực dân trí cao.
Nằm gần Trường học các cấp, gần chợ, Bệnh viện, Uỷ Ban Quận.,,
Liền kề Lê Quang Định, Nguyễn Văn Đậu, Phạm Văn Đồng
👉 Pháp lý: Chuẩn, Sổ hồng công chứng 1p30s.,,,,
👉 Giá: 15 tỷ
👉 Điểm cộng: mặt tiền góc tiện kinh doanh
👉 Liên hệ: Hiếu Huỳnh - Nhà Đất, 
#HHND85",0903080585,"Nhà mặt phố, mặt tiền",145 m²,,"103,45 triệu/m²",Đã có sổ,5 phòng,5 phòng,3,,,Nhà dính quy hoạch / lộ giới,,,,,[]
"🔥Chỉ Nhỉnh 3 Tỷ_ Nhà 3 Tầng _Hoàng Hoa Thám_ Bình Thạnh, 2 Phòng Ngủ","3,98 tỷ",199 triệu/m²,20 m²,"Đường Hoàng Hoa Thám, Phường 7, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Gia Định, TP Hồ Chí Minh mới)",HOÀNG HOA THÁM PHƯỜNG GIA ĐỊNH BÌNH THẠNH - HẺM THÔNG XE HƠI CÁCH 15M - NHÀ ĐẸP 3 TẦNG BTCT HOÀN CÔNG ĐỦ - 2PN 3WC FULL NỘI THẤT - SD 60M² SỔ A4,0902829494,"Nhà ngõ, hẻm",20 m²,60 m²,199 triệu/m²,Đã có sổ,2 phòng,2 phòng,3,Nội thất đầy đủ,,,4 m,5 m,,,"[138.46, 134.66, 134.66, 155.56, 142.38, 142.38, 142.38, 142.64, 171.25, 171.25, 170, 170, 170]"
"Cách 20m Ra MT Bùi Đình Túy, P24, BT. Trệt + 2 Lầu. Vị Trí Siêu Đẹp","4,3 tỷ",100 triệu/m²,43 m²,"Đường Bùi Đình Tuý, Phường 24, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Thạnh, TP Hồ Chí Minh mới)","NHÀ VỊ TRÍ SIÊU ĐẸP
- Bán nhà Bùi Đình Túy, P24, Bình Thạnh.
- DT 4m * 11,2m , hiện trạng 43m2 đất. 
- Trệt + 2 lầu, 3PN, 2WC, nhà hơi cũ.
- Vị trí Siêu đẹp, nằm sau căn nhà mặt tiền, đi vài bước ra MT. Ngay trung tâm ẩm thực sầm uất, nhiều tiện ích, dễ di chuyển.
- Mua ở hay cho thuê đều ổn, tăng giá trị sau này.
- Giá bán: 4 tỷ 300tr , bớt xíu lộc lá.
* LH ĐT/Zalo: (A. Tường)
* Cám ơn đã xem tin.",0903714247,"Nhà ngõ, hẻm",43 m²,,100 triệu/m²,Đã có sổ,3 phòng,2 phòng,3,,,,,,,,"[125, 158.23, 145.64, 117.23, 130.38, 130.38, 128.85, 128.85, 153.28, 161.03]"
"NGUYỄN CỬU VÂN P17 BÌNH THẠNH -25 m2- 2 TẦNG - 2 PN - 3,2 tỷ","3,2 tỷ",128 triệu/m²,25 m²,"Đường Nguyễn Cửu Vân, Phường 17, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Gia Định, TP Hồ Chí Minh mới)","NHÀ XINH LUNG LINH- HÀNG XÓM QUẬN 1 - TƯƠNG LAI QUẬN 1 - KHU VIP NGUYỄN CỬU VÂN - 25M2 2 TẦNG - NHỈNH 3.2 TỶ.,
,
Nguyễn Cửu Vân Phường 17 Bình Thạnh 
Dt 25m2
Dt 3,8 m x 7,1 m 
Giá 3,2 tỷ 
+ ACE khảo sát đi hẻm 135 Nguyễn Cửu Vân đối diện nhà thờ Mông Triệu đi thẳng cuối hẻm rẽ trái. Đối diện số nhà m mũi
+ Phù hợp khách hàng ở ngay cá tính trẻ trung hoặc vợ chồng son, nhà full option nội thất năng động 1PN -1WC ,

+ Vị trí Nhà ngay Khu Dân trí Nguyễn Cửu Vân - Sát vách Quận 1. Tiện ở và làm việc gần khu trung tâm.,
+ HẺM XE HƠI cách 11M . Hẻm trước nhà an ninh, yên tĩnh, sạch sẽ. Tương lai sát MT đường 30M,
+ Nhà thiết kế 2 Tầng chắc chắn, 1 Phòng ngủ rộng rãi, 1 WC. ,
+ Sổ Vuông, công chứng nhanh.,
,",,"Nhà ngõ, hẻm",25 m²,50 m²,128 triệu/m²,Đã có sổ,2 phòng,2 phòng,2,Nội thất đầy đủ,,,3.8 m,7.1 m,,,"[136.21, 136.21, 163.27, 163.27, 132.5, 135.42]"
"CHỦ GIẢM SÂU CẦN BÁN NHANH Nhà hẻm xe hơi Bùi Đình Túy, P12 Bình Thạnh",11 tỷ,"130,95 triệu/m²",84 m²,"Đường Bùi Đình Tuý, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Thạnh, TP Hồ Chí Minh mới)","🔥 CHỦ GIẢM SÂU – CẦN THANH KHOẢN
🏠 Nhà hẻm xe hơi Bùi Đình Túy, P12 Bình Thạnh
💰 Giá chỉ 11 TỶ
📐 84m² (4x21) – 1 trệt 1 lầu
🛏 8 phòng – đang cho thuê
💵 Dòng tiền ổn định ~30tr/tháng
📍 Gần dự án Rạch Xuyên Tâm – tiềm năng tăng giá mạnh
📕 Sổ hồng riêng – hoàn công đủ
*** Việt Trần",0826102030,"Nhà ngõ, hẻm",84 m²,150 m²,"130,95 triệu/m²",Đã có sổ,8 phòng,5 phòng,2,Hoàn thiện cơ bản,Nam,Hẻm xe hơi,4 m,21 m,,,"[128.03, 123.61, 165.15, 165.15, 153.98, 150.82, 154.98, 152.5, 110, 110]"
